page_id,name
1858127,1967 Tasmanian fires
63109238,1974–75 Australian bushfire season
9927617,1994 eastern seaboard fires
1114030,2003 Canberra bushfires
7132736,2006–07 Australian bushfire season
14637151,2007 Kangaroo Island bushfires
20737915,2008–09 Australian bushfire season
40820065,2013 New South Wales bushfires
50460970,2014 Perth Hills bushfire
48653108,2015 Pinery bushfire
44946922,2015 Sampson Flat bushfires
47784460,2015–16 Australian bushfire season
56220060,2017–18 Australian bushfire season
59203329,2018–19 Australian bushfire season
62297572,2019–20 Australian bushfire season
64650770,2020–21 Australian bushfire season
66584925,2021 Wooroloo bushfire
69366718,2021–22 Australian bushfire season
73649013,2022–23 Australian bushfire season
75141409,2023 Darling Downs fires
75386499,2023 Wanneroo bushfire
74653738,2023–24 Australian bushfire season
77795946,2024–25 Australian bushfire season
79592015,2025–26 Australian bushfire season
1051266,Ash Wednesday bushfires
8490548,Black Christmas bushfires
664951,Black Friday bushfires
21434255,Black Saturday bushfires
21590824,Black Thursday bushfires
12360527,"Eyre Peninsula bushfire, 2005"
21159044,Mount Lubra bushfire
